,Log_Negativity,Coherent_Information,Entangling_Capability,Effective_Dimension,Expressibility,Performance
226,-1.27E-07,-8.33E-17,1.206335395,,128.2516181,0.129999995
227,-1.27E-07,0,1.187372578,,0,0.109999999
228,-1.27E-07,0,1.226216612,,0,0.100000001
229,-1.27E-07,0,1.226216612,,0,0.129999995
230,-1.27E-07,0,1.187372578,,0,0.119999997
231,-1.27E-07,0,1.187372578,,0,0.109999999
232,-1.27E-07,0,1.226216612,,0,0.129999995
233,-1.27E-07,-1.67E-16,1.225298212,,0,0.079999998
234,-1.27E-07,-1.67E-16,1.225298212,,0,0.140000001
235,-1.27E-07,-1.67E-16,1.225298212,,0,0.07
236,-1.27E-07,-1.67E-16,1.225298212,,0,0.109999999
237,-1.27E-07,-1.67E-16,1.225298212,,0,0.129999995
238,-1.27E-07,-1.67E-16,1.225298212,,0,0.140000001
239,-1.27E-07,-1.67E-16,1.225298212,,0,0.090000004
240,-1.27E-07,-1.67E-16,1.225298212,,0,0.200000003
241,-1.27E-07,-1.67E-16,1.222517647,,0,0.07
242,-1.27E-07,-1.67E-16,1.225298212,,0,0.100000001
243,-1.27E-07,-1.67E-16,1.222517647,,0,0.140000001
244,-1.27E-07,-1.67E-16,1.225298212,,0,0.100000001
245,-1.27E-07,-1.67E-16,1.225298212,,0,0.07
246,-1.27E-07,-6.33E-17,1.20536341,,56.3149505,0.100000001
247,3.97E-08,-7.81E-18,1.212139926,,15.53811865,0.159999996
248,-1.27E-07,-5.46E-17,1.209944763,3.240153713,86.03399967,0.119999997
249,-2.51E-08,0,1.202862961,,13.43073968,0.100000001
250,-2.51E-08,-1.30E-17,1.194832971,,17.25180627,0.02
251,3.97E-08,-1.65E-17,1.202970891,,17.2541812,0.01
252,-2.51E-08,-5.20E-18,1.206370075,3.254708792,15.39128203,0.01
253,1.08E-07,-4.44E-17,1.198967417,,14.66979285,0.02
254,1.08E-07,-2.08E-17,1.190987489,,16.72181206,0.01
255,3.97E-08,8.67E-19,1.199191926,,16.92735129,0.01
256,1.08E-07,-1.56E-17,1.207084159,3.235654325,15.46171549,0
257,3.28E-07,0,1.185471499,,,0
258,3.28E-07,-4.44E-17,1.202677539,,28.38072707,0
259,3.28E-07,-3.70E-17,1.206278877,,19.52449023,0.01
260,3.28E-07,-2.54E-17,1.206226724,,16.32366157,0.01
261,3.28E-07,-1.87E-17,1.205502816,,14.14788118,0.02
262,3.28E-07,-1.80E-17,1.20584502,,14.93238179,0.01
263,3.28E-07,-3.11E-17,1.204625449,,14.99899474,0
264,3.28E-07,-2.02E-17,1.201487832,,14.14480195,0
265,3.28E-07,-8.07E-18,1.199855447,,13.76635464,0
266,3.28E-07,-1.92E-17,1.202864747,,14.05666203,0
267,3.28E-07,-1.21E-17,1.199913111,,14.21769349,0
268,3.28E-07,-1.98E-17,1.201671927,,13.94037914,0
269,3.28E-07,-1.42E-18,1.194564071,,14.07323206,0
270,3.28E-07,7.93E-18,1.192085867,,14.15248809,0
271,3.28E-07,-4.63E-18,1.19538107,,16.89117319,0
272,3.28E-07,8.33E-18,1.19590076,,17.10457275,0
273,3.28E-07,-2.92E-17,1.202775319,,14.85328742,0
274,3.28E-07,-5.20E-17,1.209766281,,16.79353009,0
275,3.28E-07,-4.27E-18,1.202313274,,11.94549069,0
276,3.28E-07,-5.55E-18,1.197797401,,18.37166164,0
277,3.28E-07,0,1.189165649,,14.43242213,0
278,3.28E-07,-2.08E-17,1.196838661,,16.10841512,0
279,3.28E-07,0,1.191070815,,8.952224703,0
280,3.28E-07,-2.38E-17,1.208028655,,23.81799714,0
281,3.28E-07,-7.93E-18,1.197639304,,21.91603663,0
282,3.28E-07,-3.70E-17,1.201205537,,91.00260488,0
283,3.28E-07,2.78E-17,1.182106024,,51.09396226,0
